Mahasiswa,Timestamp,passion,pengetahuan_sebelumnya,tim,skill,motivasi,komunitas_diikuti,Rating [MOCAP],Rating  [WEBONDER],Rating[UINUX],Rating [MAMUD],Rating[ETH0],Rating [UINBUNTU],Rating [FUN JAVA],Rating[GDSC],Rating  [DSE],Rating [ONTAKI],Email Address
Mahasiswa 40,2/5/2024 17:33:27,Linux,Pemograman Mobile,"Tim Besar: membuat kegiatan seperti seminar, workshop dll",Python,Untuk memperdalam keilmuan di bidang IT ,"MOCAP, MAMUD, GDSC, ONTAKI",4.0,2.0,4.0,1.0,5.0,5.0,4.0,4.0,4.0,5.0,
Mahasiswa 29,2/5/2024 20:41:27,Pemograman Web,"Data Science, Teknologi Google",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Cloud, Linux, Golang",Menambah teman,"ETH0, GDSC",3.0,5.0,2.0,5.0,4.0,3.0,4.0,4.0,1.0,3.0,
Mahasiswa 9,2/5/2024 16:43:32,Robotik,Robotik,Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, Cloud",Untuk belajar lebih jauh mengenai materi yang d berikan,"MOCAP, MAMUD, GDSC, ONTAKI",4.0,3.0,4.0,5.0,4.0,1.0,1.0,4.0,3.0,4.0,
Mahasiswa 21,2/5/2024 16:43:26,Data Science,Data Science,Tim Kecil: Lebih ke proyek-proyek tertentu,"Java, C#, Dart, Python",Untuk belajar lebih jauh mengenai materi yang d berikan,"MOCAP, WEBONDER, DSE",2.0,4.0,4.0,1.0,4.0,1.0,2.0,5.0,4.0,2.0,
Mahasiswa 36,2/5/2024 20:41:27,Teknologi Google,"Pemograman Web, Pemograman Mobile, Pemograman Java, Jaringan, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, Figma, Kotlin, Dart, Cloud, Python, Golang",Ingin menambah wawasan dan menambah ilmu untuk mengembangkan diri,MOCAP,4.0,3.0,1.0,5.0,5.0,3.0,2.0,1.0,4.0,5.0,
Mahasiswa 12,10/13/2023 4:11:43,Pemograman Web,Robotik,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Java, Dart",Memperluas networking,"WEBONDER, ETH0, FUN JAVA",4.0,5.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,5.0,
Mahasiswa 9,2/6/2024 12:54:26,Pemograman Web,"Pemograman Web, Pemograman Mobile, Pemograman Java",Tim Kecil: Lebih ke proyek-proyek tertentu,"HTML, CSS, Figma, Python","Dengan mengikuti komunitas, bisa membantu saya mengembangkan skill","MOCAP, WEBONDER, GDSC",3.0,2.0,5.0,1.0,2.0,3.0,5.0,1.0,4.0,3.0,
Mahasiswa 45,2/5/2024 17:25:54,Linux,Robotik,"Tim Besar: membuat kegiatan seperti seminar, workshop dll",Python,Pengetahuan dalam dunia kerja dan informasi penting (Loker atau Pengetahuan) terbaru di bidang yang diminati,"ETH0, UINBUNTU, FUN JAVA, GDSC, DSE, ONTAKI",3.0,4.0,4.0,3.0,4.0,2.0,1.0,3.0,4.0,2.0,
Mahasiswa 27,2/5/2024 17:33:27,Linux,Pemograman Web,Tim Kecil: Lebih ke proyek-proyek tertentu,"Dart, Python",Menambah pengalaman ,"WEBONDER, GDSC",5.0,3.0,2.0,4.0,4.0,1.0,3.0,4.0,3.0,2.0,
Mahasiswa 14,2/8/2024 18:04:59,Robotik,"Pemograman Web, Pemograman Mobile, Pemograman Java, Data Science, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Java, Figma",Ingin menambah ilmu mengenai bidang yang saya tekuni ,ETH0,4.0,3.0,1.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,
Mahasiswa 15,2/8/2024 16:44:49,Multimedia,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Robotik, Jaringan, Linux",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, Figma",menambah relasi,"MOCAP, WEBONDER",1.0,3.0,2.0,5.0,3.0,3.0,5.0,4.0,2.0,4.0,
Mahasiswa 9,10/13/2023 6:49:42,Multimedia,"Pemograman Web, Pemograman Java, Multimedia, Data Science, Linux, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Figma","Pengalaman ,relasi ,dan pengetahuan","MOCAP, GDSC",4.0,2.0,5.0,1.0,4.0,2.0,2.0,5.0,3.0,3.0,
Mahasiswa 9,2/13/2024 10:19:41,Multimedia,"Pemograman Java, Jaringan, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","HTML, CSS, Figma, Python",Ingin menambah ilmu yang sebelumnya sudah saya dapat di sma,"MOCAP, UINBUNTU, ONTAKI",4.0,3.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,
Mahasiswa 27,2/6/2024 11:56:37,Data Science,"Pemograman Web, Pemograman Java, Multimedia, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","Javascript, Figma","Bergabung dalam komunitas akademik di TI UIN memberikan kesempatan untuk mendapatkan pengetahuan mendalam tentang bidang Teknologi Informasi. Melalui mata kuliah, seminar, dan proyek kolaboratif, anggota komunitas dapat terus belajar dan mengembangkan keterampilan mereka",DSE,2.0,4.0,3.0,5.0,4.0,3.0,5.0,3.0,3.0,4.0,
Mahasiswa 39,2/5/2024 17:25:54,Robotik,Multimedia,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Cloud, Linux, Golang",Menambah pengalaman dan mendalami skill yang ingin diasah,DSE,2.0,4.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,
Mahasiswa 28,2/6/2024 10:22:22,Data Science,"Pemograman Mobile, Teknologi Google, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"Java, C++, C#, Unity, Kotlin",Untuk mendapatkan pengalaman baru serta belajar tanggung jawab,ETH0,3.0,3.0,1.0,3.0,2.0,1.0,4.0,5.0,4.0,2.0,
Mahasiswa 39,2/5/2024 16:41:25,Teknologi Google,"Pemograman Web, Pemograman Java, Multimedia, Linux, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, Figma",Ingin menambah wawasan dan menambah ilmu untuk mengembangkan diri,"WEBONDER, ETH0",4.0,5.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,5.0,
Mahasiswa 32,10/13/2023 6:49:42,Linux,",","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, CSS, Javascript, Cloud, Linux, Golang",Untuk memperdalam keilmuan di bidang IT ,"MOCAP, ONTAKI",2.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,4.0,
Mahasiswa 9,10/13/2023 4:02:22,Pemograman Mobile,"Pemograman Web, Pemograman Mobile, Data Science",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Figma, Ubuntu, Kotlin, Dart, Cloud, Linux, Golang",Belajar lebih dalam,"WEBONDER, ETH0, FUN JAVA",3.0,3.0,4.0,5.0,3.0,3.0,1.0,4.0,1.0,5.0,
Mahasiswa 13,10/13/2023 7:59:19,Teknologi Google,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, C#, Figma, Dart, Cloud, Python","Dengan mengikuti komunitas, bisa membantu saya mengembangkan skill","WEBONDER, ETH0",3.0,5.0,4.0,5.0,4.0,1.0,1.0,4.0,4.0,4.0,
Mahasiswa 13,2/6/2024 13:14:22,Data Science,"Pemograman Mobile, Pemograman Java, Data Science","Tim Besar: membuat kegiatan seperti seminar, workshop dll","Dart, Python",Menambah insight baru ,"MOCAP, WEBONDER, DSE",3.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,5.0,
Mahasiswa 40,2/5/2024 16:43:32,Pemograman Web,"Pemograman Web, Pemograman Mobile, Data Science",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Java, Kotlin, Dart, Python",Ingin menambah pengalaman yang lebih serta dapat mendapatkan relasi yang lebih positif ,"ETH0, GDSC, DSE",3.0,2.0,4.0,1.0,2.0,3.0,2.0,4.0,4.0,3.0,
Mahasiswa 6,2/5/2024 17:20:34,Jaringan,UI/UX,Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Cloud, Linux, Golang",Mencari peluang untuk memperlebar koneksi ke developer handal,ETH0,4.0,4.0,4.0,1.0,4.0,5.0,4.0,4.0,4.0,5.0,
Mahasiswa 36,2/8/2024 18:30:42,Multimedia,Data Science,Tim Kecil: Lebih ke proyek-proyek tertentu,"Java, Figma",Menambah relasi & pengetahuan di bidang terkait ,"MOCAP, WEBONDER, MAMUD, ETH0",4.0,2.0,4.0,4.0,3.0,1.0,4.0,4.0,1.0,2.0,
Mahasiswa 24,2/8/2024 16:44:49,Teknologi Google,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Robotik, Jaringan, Linux, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"Java, Figma","Bergabung dalam komunitas akademik di TI UIN memberikan kesempatan untuk mendapatkan pengetahuan mendalam tentang bidang Teknologi Informasi. Melalui mata kuliah, seminar, dan proyek kolaboratif, anggota komunitas dapat terus belajar dan mengembangkan keterampilan mereka",ETH0,3.0,5.0,2.0,4.0,2.0,1.0,4.0,4.0,4.0,2.0,
Mahasiswa 25,2/8/2024 16:58:59,Multimedia,"Pemograman Mobile, Teknologi Google, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, Figma, Kotlin, Dart, Cloud, Python, Golang",Menambah ilmu,UINUX,5.0,4.0,5.0,5.0,2.0,3.0,2.0,4.0,2.0,4.0,
Mahasiswa 33,2/8/2024 17:22:54,Data Science,"Pemograman Mobile, Pemograman Java, Teknologi Google, Linux, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"HTML, CSS, Figma, Blender, Python",Mengembangkan keahlian dan mendapatkan pengalam dan ilmu,"MOCAP, DSE",4.0,4.0,1.0,1.0,2.0,5.0,1.0,5.0,4.0,3.0,
Mahasiswa 12,2/6/2024 17:40:35,Multimedia,"Pemograman Web, Data Science, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Figma, Blender, Python, Linux",Karena ingin menambah teman dan mempelajari ilmu baru,ONTAKI,4.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,
Mahasiswa 25,2/5/2024 16:46:02,Pemograman Mobile,UI/UX,Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Java, C++, C#, Unity, Ubuntu, Blender, Dart, Python, Linux",Menambah pengalaman ,"MOCAP, MAMUD, GDSC, ONTAKI",3.0,5.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,
Mahasiswa 27,2/6/2024 17:40:35,Multimedia,Pemograman Mobile,Tim Kecil: Lebih ke proyek-proyek tertentu,"Kotlin, Dart, Python",Mempelajari ilmu baru di luar perkuliahan dengan teman-teman,FUN JAVA,4.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,1.0,4.0,
Mahasiswa 12,2/5/2024 17:25:54,Multimedia,"Pemograman Web, Pemograman Java, Data Science",Tim Kecil: Lebih ke proyek-proyek tertentu,HTML,mrnambah ilmu,"MOCAP, UINBUNTU, ONTAKI",3.0,4.0,4.0,3.0,3.0,3.0,5.0,1.0,4.0,5.0,
Mahasiswa 33,2/5/2024 16:53:20,Jaringan,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Robotik, Jaringan, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, CSS, Javascript, Cloud, Linux, Golang",Mengembangkan skill dan menambah wawasan,"ETH0, GDSC",2.0,3.0,2.0,3.0,4.0,5.0,4.0,5.0,3.0,2.0,
Mahasiswa 36,2/8/2024 16:58:59,UI/UX,"Pemograman Web, Data Science",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Cloud, Linux, Golang",Karena ingin menambah teman dan mempelajari ilmu baru,"MOCAP, DSE",4.0,4.0,4.0,3.0,5.0,3.0,1.0,5.0,3.0,2.0,
Mahasiswa 33,2/5/2024 16:58:01,Multimedia,"Pemograman Web, Pemograman Mobile, Data Science","Tim Besar: membuat kegiatan seperti seminar, workshop dll","HTML, CSS, Java, C++, C#, Blender",Menambah ilmu,"ETH0, GDSC",4.0,4.0,4.0,3.0,2.0,2.0,3.0,5.0,3.0,4.0,
Mahasiswa 23,2/6/2024 12:54:26,Teknologi Google,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Robotik, Jaringan, Teknologi Google, Linux, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Figma, Cloud, Python",Menambah pengalaman dan mendalami skill yang ingin diasah,"MOCAP, ONTAKI",2.0,2.0,5.0,4.0,3.0,2.0,4.0,5.0,4.0,5.0,
Mahasiswa 3,2/8/2024 16:44:49,Linux,"Pemograman Web, Pemograman Java, Multimedia, Linux, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"Javascript, Unity, Ubuntu",Ingin mendapatkan lingkungan yang memeiliki mimpi yang sama dan minat yang sama,"MOCAP, MAMUD, GDSC, ONTAKI",3.0,5.0,1.0,5.0,4.0,1.0,4.0,3.0,4.0,2.0,
Mahasiswa 14,2/7/2024 14:55:06,Jaringan,"Pemograman Mobile, Pemograman Java, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","Kotlin, Dart, Python","Dengan mengikuti komunitas, bisa membantu saya mengembangkan skill","MOCAP, ONTAKI",2.0,4.0,4.0,5.0,3.0,2.0,4.0,5.0,4.0,3.0,
Mahasiswa 20,2/6/2024 12:54:26,Pemograman Web,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Linux, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, Java, C++, Figma, Ubuntu, Kotlin, Dart, Cloud, Python, Linux, Golang",Ingin menambah ilmu mengenai bidang yang saya tekuni ,"MOCAP, UINBUNTU, ONTAKI",3.0,5.0,2.0,4.0,4.0,3.0,2.0,1.0,3.0,5.0,
Mahasiswa 24,2/9/2024 10:24:07,Pemograman Web,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Jaringan, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Java, C++, C#, Unity, Ubuntu, Blender, Dart, Python, Linux",Belajar lebih dalam,"WEBONDER, ETH0, FUN JAVA",3.0,4.0,4.0,3.0,3.0,5.0,2.0,4.0,4.0,2.0,
Mahasiswa 46,2/7/2024 14:55:06,Teknologi Google,"Pemograman Web, Pemograman Java, Multimedia, Data Science, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","Java, Figma","Menambah wawasan dan teman, serta menambah sesuatu di Linkedin",FUN JAVA,5.0,2.0,2.0,5.0,2.0,5.0,2.0,4.0,2.0,3.0,
Mahasiswa 8,2/8/2024 16:58:59,Linux,"Pemograman Web, Pemograman Mobile, Pemograman Java, Jaringan, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Figma, Cloud, Python",Menambah teman,"MOCAP, UINBUNTU, ONTAKI",3.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,
Mahasiswa 33,2/5/2024 17:20:34,UI/UX,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Linux, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Java, Kotlin, Dart, Python",Memperluas networking,"MOCAP, WEBONDER, DSE",4.0,2.0,3.0,1.0,4.0,3.0,4.0,5.0,4.0,5.0,
Mahasiswa 19,2/5/2024 17:20:34,Linux,"Pemograman Mobile, Pemograman Java, Teknologi Google, Linux, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Figma, Ubuntu, Kotlin, Dart, Cloud, Linux, Golang",Mengembangkan skill dan menambah wawasan,"MOCAP, WEBONDER, GDSC",5.0,3.0,2.0,3.0,5.0,1.0,4.0,5.0,4.0,5.0,
Mahasiswa 45,10/12/2023 23:33:04,Linux,"Pemograman Web, Pemograman Mobile, Pemograman Java",Tim Kecil: Lebih ke proyek-proyek tertentu,"Java, Figma",menambah relasi,"WEBONDER, ETH0, FUN JAVA",3.0,2.0,4.0,2.0,4.0,1.0,5.0,5.0,4.0,2.0,
Mahasiswa 9,2/5/2024 16:46:02,Data Science,"Pemograman Java, Jaringan, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","Javascript, Python, Golang",Pengetahuan dalam dunia kerja dan informasi penting (Loker atau Pengetahuan) terbaru di bidang yang diminati,"MOCAP, UINBUNTU, ONTAKI",2.0,4.0,5.0,3.0,3.0,1.0,4.0,4.0,2.0,4.0,
Mahasiswa 1,2/5/2024 17:02:37,Jaringan,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Jaringan, Linux",Tim Kecil: Lebih ke proyek-proyek tertentu,"HTML, CSS, Figma, Blender, Python",Nambah ilmu dan pengalaman. Nambah relasi,"MOCAP, WEBONDER",4.0,3.0,4.0,1.0,5.0,3.0,2.0,5.0,3.0,5.0,
Mahasiswa 7,2/5/2024 16:37:56,Jaringan,Multimedia,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","Javascript, C#, Figma, Unity, Blender, Kotlin",Ingin meningkatkan softskill maupun hardskill yang bisa menunjang karir,DSE,2.0,3.0,4.0,2.0,3.0,5.0,2.0,5.0,2.0,2.0,
Mahasiswa 33,10/13/2023 6:49:42,UI/UX,"Pemograman Web, Data Science, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, C#, Figma, Dart, Cloud, Python",Ingin menambah ilmu yang sebelumnya sudah saya dapat di sma,"MOCAP, WEBONDER, MAMUD, ETH0",3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,
Mahasiswa 25,2/5/2024 20:41:27,Teknologi Google,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Robotik, Jaringan, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","Java, Figma","Menambah wawasan dan teman, serta menambah sesuatu di Linkedin",MAMUD,2.0,4.0,2.0,3.0,3.0,5.0,4.0,4.0,3.0,2.0,
Mahasiswa 6,2/5/2024 18:44:46,Data Science,Jaringan,Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Figma","Dengan mengikuti komunitas, bisa membantu saya mengembangkan skill",MOCAP,3.0,5.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,
Mahasiswa 21,10/13/2023 4:02:22,Jaringan,"Pemograman Web, Pemograman Mobile, Pemograman Java, Data Science, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","C++, C#, Figma, Ubuntu, Cloud, Linux, Golang","Pengalaman ,relasi ,dan pengetahuan","ETH0, GDSC, DSE",1.0,5.0,4.0,3.0,3.0,5.0,2.0,4.0,4.0,2.0,
Mahasiswa 30,2/6/2024 13:14:22,Pemograman Web,Pemograman Mobile,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","HTML, CSS, Figma, Blender, Python",menambah wawasan saya dan koneksi antar anggota,FUN JAVA,3.0,3.0,2.0,3.0,3.0,1.0,4.0,4.0,4.0,2.0,
Mahasiswa 36,2/6/2024 12:54:26,Linux,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Jaringan, Teknologi Google, Linux, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Figma, Cloud, Python",Menambah relasi & pengetahuan di bidang terkait ,"MOCAP, GDSC, DSE, ONTAKI",4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,
Mahasiswa 37,2/5/2024 18:44:46,Robotik,Robotik,Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, Python",Ingin menambah pengalaman yang lebih serta dapat mendapatkan relasi yang lebih positif ,FUN JAVA,3.0,2.0,1.0,3.0,3.0,4.0,2.0,5.0,4.0,2.0,
Mahasiswa 6,2/5/2024 16:58:01,Linux,"Pemograman Web, Pemograman Mobile, Pemograman Java",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Figma, Cloud",Untuk membantu saya dalam minat saya di bidang bioinformatika ,FUN JAVA,3.0,4.0,2.0,3.0,5.0,1.0,2.0,4.0,3.0,5.0,
Mahasiswa 12,2/8/2024 20:08:41,Jaringan,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Jaringan, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll",HTML,Menambah relasi untuk membantu memudahkan memahami tugas kuliah,"ETH0, GDSC",4.0,4.0,2.0,1.0,3.0,1.0,4.0,5.0,4.0,3.0,
Mahasiswa 38,2/5/2024 19:30:29,Data Science,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Jaringan, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, CSS, Javascript, Cloud, Linux, Golang",Menambah pengalaman ,ETH0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,
Mahasiswa 46,2/7/2024 14:55:06,Multimedia,"Pemograman Web, Data Science, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, Java, C++, Figma, Ubuntu, Kotlin, Dart, Cloud, Python, Linux, Golang",Mencari ilmu baru,"WEBONDER, ETH0",4.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,
